epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,550.827,0.27589,0.50854,1.01327,0.91255,0.91175,0.95418,0.9157,0.27382,0.45198,0.8539,6.1285e-05,6.1285e-05,6.1285e-05
77,557.761,0.26389,0.49476,0.99988,0.9014,0.88467,0.94808,0.90495,0.29576,0.49313,0.88755,5.89288e-05,5.89288e-05,5.89288e-05
78,564.836,0.27193,0.48879,1.00535,0.90089,0.91714,0.95275,0.92,0.27324,0.44321,0.85513,5.65726e-05,5.65726e-05,5.65726e-05
79,571.919,0.28064,0.47681,1.00802,0.91233,0.90044,0.95488,0.91658,0.28662,0.4331,0.87426,5.42164e-05,5.42164e-05,5.42164e-05
80,579.086,0.27629,0.47761,1.00663,0.90433,0.91026,0.9539,0.91666,0.27497,0.44991,0.86313,5.18602e-05,5.18602e-05,5.18602e-05
81,586.268,0.26547,0.48743,1.00032,0.90775,0.90437,0.95483,0.92156,0.26594,0.44797,0.84966,4.9504e-05,4.9504e-05,4.9504e-05
82,593.386,0.26813,0.47447,1.00774,0.90012,0.93013,0.95563,0.9242,0.26427,0.42244,0.8496,4.71478e-05,4.71478e-05,4.71478e-05
83,600.915,0.27442,0.46975,1.01127,0.90396,0.91486,0.95574,0.92606,0.25996,0.423,0.84031,4.47916e-05,4.47916e-05,4.47916e-05
84,608.063,0.28168,0.47722,1.00701,0.89342,0.92531,0.95496,0.92433,0.26847,0.43562,0.85164,4.24354e-05,4.24354e-05,4.24354e-05
85,615.297,0.27553,0.47498,1.00139,0.90747,0.90997,0.95504,0.9186,0.27624,0.44601,0.85582,4.00792e-05,4.00792e-05,4.00792e-05
86,622.418,0.27525,0.48929,1.00834,0.91809,0.90309,0.95213,0.91599,0.2818,0.4376,0.86733,3.7723e-05,3.7723e-05,3.7723e-05
87,629.554,0.25978,0.45466,0.99913,0.91025,0.90437,0.95558,0.92663,0.26247,0.42959,0.84825,3.53668e-05,3.53668e-05,3.53668e-05
88,636.729,0.26446,0.46733,1.00219,0.89679,0.92904,0.96206,0.92908,0.26406,0.41729,0.84467,3.30106e-05,3.30106e-05,3.30106e-05
89,644.033,0.27685,0.48068,1.00668,0.90273,0.92402,0.96013,0.92868,0.25932,0.40057,0.84025,3.06544e-05,3.06544e-05,3.06544e-05
90,651.247,0.26137,0.46794,0.99865,0.93074,0.91822,0.96171,0.93028,0.27109,0.40555,0.85091,2.82982e-05,2.82982e-05,2.82982e-05
91,659.621,0.16292,0.57519,0.96296,0.89906,0.93295,0.95571,0.91744,0.27449,0.41524,0.85108,2.5942e-05,2.5942e-05,2.5942e-05
92,666.71,0.14319,0.50808,0.93483,0.88886,0.92809,0.95225,0.92022,0.26655,0.43692,0.85147,2.35858e-05,2.35858e-05,2.35858e-05
93,673.755,0.13555,0.47627,0.94475,0.91278,0.91317,0.95149,0.92073,0.26281,0.42202,0.84807,2.12296e-05,2.12296e-05,2.12296e-05
94,680.839,0.13337,0.48263,0.9454,0.88414,0.92799,0.95064,0.9192,0.26672,0.42807,0.84671,1.88734e-05,1.88734e-05,1.88734e-05
95,687.853,0.12761,0.4522,0.93772,0.90868,0.92097,0.95355,0.92728,0.2551,0.40762,0.83708,1.65172e-05,1.65172e-05,1.65172e-05
96,694.883,0.12635,0.48303,0.93458,0.91857,0.9014,0.9521,0.9236,0.25377,0.40796,0.83422,1.4161e-05,1.4161e-05,1.4161e-05
97,701.961,0.1205,0.43732,0.93884,0.91977,0.91216,0.95504,0.92838,0.24698,0.39612,0.82609,1.18048e-05,1.18048e-05,1.18048e-05
98,709.146,0.12054,0.43376,0.9275,0.92684,0.9141,0.95335,0.92607,0.2465,0.39719,0.82707,9.4486e-06,9.4486e-06,9.4486e-06
99,716.311,0.1208,0.43052,0.92569,0.91649,0.91855,0.95263,0.9236,0.24899,0.4038,0.82986,7.0924e-06,7.0924e-06,7.0924e-06
100,723.786,0.15345,0.50631,0.96922,0.91114,0.92228,0.95352,0.924,0.2481,0.3975,0.82932,4.7362e-06,4.7362e-06,4.7362e-06
